,problem,solver,status,sanity_sat,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,slots:u,topdown-retiring:u,topdown-bad-spec:u,topdown-fe-bound:u,topdown-be-bound:u,elapsed,user,sys
0,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/f72b09bc9444f702ad7cdf3a9075754e71d673f3d134d9f485f6608a,ostrich,Success,sat,3102.33,0,0,28418,9941752906,12368208598,2404647139,77476174,47371466385,7805077476,30061938277,10536454082,8506283465,1.129134928,2.831963000,0.293032000
1,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/e007cfdcf4dd61007107222cbedbb46ad161a945ab5ee0a68d3f585a,ostrich,Success,sat,2973.84,0,0,26904,9540675864,10967496343,2154929296,68392854,42633370590,7627128342,25295397212,10247925852,8733913436,1.063381385,2.648510000,0.360995000
2,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/e007cfdcf4dd61007107222cbedbb46ad161a945ab5ee0a68d3f585a,z3noodler,Success,sat,16.02,0,0,2677,37183016,72392919,15294648,157366,185915040,73464665,17487010,62837563,33544872,0.017277580,0.008718000,0.007765000
3,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/5735c9082c3f9cd487c6376032029bb499ba1f87113dc9ca03adc6bc,ostrich,Success,sat,1813.85,0,0,19918,5712548252,6646145715,1319870493,43578305,26492378665,4869356619,13744109013,7100175946,5572766704,0.792023414,1.647703000,0.190148000
4,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/f72b09bc9444f702ad7cdf3a9075754e71d673f3d134d9f485f6608a,z3alpha,Success,sat,47.57,0,0,5565,129462190,230328408,50348824,973549,646821865,208146710,144579857,202551198,105548450,0.054784582,0.040404000,0.007490000
5,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/bdcb3877984a55b540face066045c4642cba1bc553af78576a41a76e,z3noodler,Success,sat,19.86,0,0,2710,38105122,70605507,14936497,145475,190525550,67768325,60417861,54911565,38278348,0.152406107,0.010464000,0.010452000
6,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/bdcb3877984a55b540face066045c4642cba1bc553af78576a41a76e,z3,Success,unsupported,11.51,0,0,2010,13667368,15675068,3315569,71647,68336840,12436158,33104806,17322132,18994384,0.144185383,0.002228000,0.010009000
7,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/bdcb3877984a55b540face066045c4642cba1bc553af78576a41a76e,cvc5,Success,sat,9.78,0,0,707,12932841,18670060,3652292,83081,63543640,17084508,15200635,29924006,4154570,0.207214378,0.005232000,0.005227000
8,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/bdcb3877984a55b540face066045c4642cba1bc553af78576a41a76e,ostrich,Success,sat,1874.83,0,0,23422,5883170424,7286274215,1439262804,47111389,27882887745,5163664232,15472292510,7050720592,5113083552,0.805399299,1.692087000,0.210284000
9,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/e007cfdcf4dd61007107222cbedbb46ad161a945ab5ee0a68d3f585a,z3alpha,Success,sat,48.53,0,0,5563,129896444,228212424,49927355,969932,649410580,206913720,151289069,197872543,112243215,0.062362776,0.033063000,0.015859000
10,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/e007cfdcf4dd61007107222cbedbb46ad161a945ab5ee0a68d3f585a,z3,Success,unsupported,8.85,0,0,1996,13984360,17419461,3644315,86826,69921780,16307317,11450432,23944526,19269980,0.012475176,0.003084000,0.006177000
11,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/f72b09bc9444f702ad7cdf3a9075754e71d673f3d134d9f485f6608a,z3noodler,Success,sat,16.48,0,0,2677,39415082,74890683,15808462,171224,197075410,75560825,19310704,68151104,35551481,0.017436584,0.008874000,0.007888000
12,out/benchmarks/non-incremental/QF_SNIA/20200224-Wu-PyExZ3/5735c9082c3f9cd487c6376032029bb499ba1f87113dc9ca03adc6bc,z3noodler,Success,sat,14.51,0,0,2134,35559831,70293583,14843480,141122,177799135,70949771,16028976,60109523,32064845,0.015326873,0.012754000,0.002124000
